,Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
955,56,Goldman Sachs,Financials,"68,711",5.7%,"48,500","New York City, New York"
956,57,Sysco,Food service,"68,636",33.8%,"70,510","Houston, Texas"
957,58,Bunge Limited,Food industry,"67,232",13.7%,"23,000","White Plains, New York"
958,59,RTX Corporation,Conglomerate,"67,074",4.2%,"182,000","Arlington County, Virginia"
959,60,Boeing,Aerospace and defense,"66,608",6.9%,"156,000","Arlington County, Virginia"
960,61,StoneX Group,Financials,"66,036",55.3%,"4,000[2]","New York City, New York"
961,62,Lockheed Martin,Aerospace and defense,"65,984",1.6%,"116,000","Bethesda, Maryland"
962,63,Morgan Stanley,Financials,"65,936",7.9%,"82,427","New York City, New York"
963,64,Intel,Technology,"63,054",20.1%,"131,900","Santa Clara, California"
964,65,HP,Technology,"62,983",0.8%,"58,000","Palo Alto, California"
965,66,TD Synnex,Infotech,"62,344",97.2%,"28,500","Clearwater, Florida"
966,67,IBM,Technology and cloud computing,"60,530",16.3%,"303,100","Armonk, New York"
967,68,HCA Healthcare,Healthcare,"60,233",2.5%,"250,500","Nashville, Tennessee"
968,69,Prudential Financial,Financials,"60,050",15.3%,"39,583","Newark, New Jersey"
969,70,Caterpillar,Machinery,"59,427",16.6%,"109,100","Deerfield, Illinois"
970,71,Merck & Co.,Pharmaceutical industry,"59,283",15.8%,"68,000","Kenilworth, New Jersey"
971,72,World Fuel Services,Petroleum industry and logistics,"59,043",88.4%,"5,214","Miami, Florida"
972,73,New York Life Insurance Company,Insurance,"58,445",14.2%,"15,050","New York City, New York"
973,74,Enterprise Products,Petroleum industry,"58,186",42.6%,"7,300","Houston, Texas"
974,75,AbbVie,Pharmaceutical industry,"58,054",3.3%,"50,000","Lake Bluff, Illinois"
975,76,Plains All American Pipeline,Petroleum industry,"57,342",36.3%,"4,100","Houston, Texas"
976,77,Dow Chemical Company,Chemical industry,"56,902",3.5%,"37,800","Midland, Michigan"
977,78,AIG,Insurance,"56,437",8.4%,"26,200","New York City, New York"
978,79,American Express,Financial,"55,625",27.3%,"77,300","New York City, New York"
979,80,Publix,Retail,"54,942",13.5%,"242,000","Lakeland, Florida"
980,81,Charter Communications,Telecommunications,"54,022",4.5%,"101,700","Stamford, Connecticut"
981,82,Tyson Foods,Food processing,"53,282",13.2%,"142,000","Springdale, Arkansas"
982,83,John Deere,Agriculture manufacturing,"52,577",19.4%,"82,239","Moline, Illinois"
983,84,Cisco,Telecom hardware manufacturing,"51,557",3.5%,"83,300","San Jose, California"
984,85,Nationwide Mutual Insurance Company,Financial,"51,450",8.6%,"24,791","Columbus, Ohio"
985,86,Allstate,Insurance,"51,412",3.4%,"54,250","Northfield Township, Cook County, Illinois"
986,87,Delta Air Lines,Airline,"50,582",69.2%,"95,000","Atlanta, Georgia"
987,88,Liberty Mutual,Insurance,"49,956",3.6%,"50,000","Boston, Massachusetts"
988,89,TJX,Retail,"49,936",2.9%,"329,000","Framingham, Massachusetts"
989,90,Progressive Corporation,Insurance,"49,611",4.0%,"55,063","Mayfield Village, Ohio"
990,91,American Airlines,Airline,"48,971",63.9%,"129,700","Fort Worth, Texas"
991,92,CHS,Agriculture cooperative,"47,194",24.3%,"10,014","Inver Grove Heights, Minnesota"
992,93,Performance Food Group,Food processing,"47,194",61.6%,"34,825","Richmond, Virginia"
993,94,PBF Energy,Petroleum industry,"46,830",71.8%,"3,616","Parsippany–Troy Hills, New Jersey"
994,95,Nike,Apparel,"46,710",4.9%,"79,100","Beaverton, Oregon"
995,96,Best Buy,Retail,"46,298",10.6%,"71,100","Richfield, Minnesota"
996,97,Bristol-Myers Squibb,Pharmaceutical industry,"46,159",0.5%,"34,300","New York City, New York"
997,98,United Airlines,Airline,"44,955",82.5%,"92,795","Chicago, Illinois"
998,99,Thermo Fisher Scientific,Laboratory instruments,"44,915",14.5%,"130,000","Waltham, Massachusetts"
999,100,Qualcomm,Technology,"44,200",31.7%,"51,000","San Diego, California"
